PersonID,login,password,salary,Department,HasFamily,HasCar,HasPet
58-9784194,dcerman3b,avokes3b,$6546.43,A,false,false,false
64-3937211,dhartnup3c,keggins3c,$8373.12,C,true,false,false
55-4569585,hfender3d,ggrote3d,$2151.59,A,false,false,false
08-0648450,,dmallord3e,$3873.73,A,false,false,true
34-0307975,adewfall3f,fmaccollom3f,$1036.07,D,false,true,true
88-7148460,,klapish3g,$8757.38,B,true,true,false
27-5480584,vclaesens3h,csorro3h,$3327.45,B,true,false,true
17-9054415,gpoel3i,sleask3i,$8017.76,B,false,false,true
19-8273403,,awythill3j,$7778.82,B,true,true,true
23-7572558,rlaxe3k,vkohlerman3k,$6487.88,B,true,true,false
34-6613705,sdowgill3l,ninsoll3l,$233.33,A,true,true,false
01-4453312,spate3m,bbruin3m,$3394.21,C,true,false,false
60-2796916,adumbrell3n,mgavigan3n,$9017.14,C,false,true,true
25-3638994,gzelland3o,gstarking3o,$212.36,A,true,true,false
65-6244938,gchantler3p,vfane3p,$3076.18,B,true,false,true
56-6293722,sclapperton3q,cflowitt3q,$9233.75,D,true,true,false
18-1256802,lgilston3r,bsoles3r,$9320.79,B,false,false,true
89-6557166,,shudson3s,$2750.02,B,true,false,false
89-2401496,bemney3t,smelby3t,$777.85,C,true,false,true
48-4839683,pelmore3u,vcradduck3u,$6562.16,B,true,false,false
96-5952817,srizzotto3v,jsawell3v,$3598.33,C,false,false,false
65-3181540,mcudmore3w,,$4513.06,A,false,false,false
13-8180928,mhaken3x,rgarriock3x,$4671.38,B,true,true,false
97-8397346,,whickenbottom3y,$8083.45,B,true,false,false
16-6353003,amatyushenko3z,dbardnam3z,$5901.36,C,false,true,false
29-0358938,,hcanepe40,$8911.32,C,false,true,false
03-7322969,omcquilty41,wgiorio41,$4425.14,D,false,false,true
62-5928534,ctaffrey42,cpaget42,$976.52,A,false,true,false
80-8939729,,,$9492.20,C,false,true,false
49-6417041,,khennemann44,$9597.82,A,false,false,true
86-2428707,wduker45,dcavill45,$7451.96,B,true,false,true
41-1071480,,echadbourne46,$356.98,D,false,false,false
01-2290722,htaffee47,tmably47,$8019.87,A,true,true,true
71-5066512,socullinane48,cbeeck48,$459.04,B,true,false,false
79-3037914,nkarpeev49,lmcquilkin49,$9242.34,B,false,true,true
29-5215085,,jleifer4a,$2729.76,C,false,true,false
85-9633639,aboyton4b,,$7276.03,B,true,true,true
52-6398340,astarbuck4c,ceastment4c,$5832.58,D,false,false,false
05-3230119,ddewane4d,gcreamen4d,$2487.87,C,false,false,false
12-1506025,bedgcumbe4e,mcommander4e,$9672.05,A,true,true,false
98-0493492,evanderhoog4f,solohan4f,$8714.49,C,true,true,true
40-0920571,,,$2859.99,D,true,true,false
28-2358685,,slowdiane4h,$5232.58,D,true,true,false
36-0477013,sfairbank4i,gmaykin4i,$3393.36,B,false,false,true
52-5242187,lkohler4j,,$1757.21,C,false,false,true
33-1584289,mburridge4k,,$9822.06,C,false,true,false
52-5501656,eluckings4l,,$8278.59,B,true,true,true
65-0569583,mbayly4m,,$4877.55,B,false,false,true
91-6871976,mandreazzi4n,iskelly4n,$2204.09,A,false,false,true
37-7859550,blinggard4o,aashborne4o,$312.06,C,true,true,false
24-9090519,aphilipp4p,wkamienski4p,$5958.52,D,false,true,false
23-0654900,shourston4q,gropars4q,$8477.59,A,true,true,true
93-3077054,vroyste4r,lfaichnie4r,$6262.35,C,false,true,true
54-4532036,tbrisson4s,epantridge4s,$1192.78,A,false,false,true
10-5263937,,bcleyburn4t,$5742.31,A,false,false,false
46-4250219,yclee4u,rmichiel4u,$7284.26,C,false,true,false
31-2719034,tportchmouth4v,lscatcher4v,$4512.73,C,false,true,true
39-7540696,enewgrosh4w,cwalework4w,$5066.06,D,false,false,false
25-6999451,aallsupp4x,icollomosse4x,$8456.51,C,true,true,true
27-4514206,edalziell4y,geaklee4y,$7263.41,D,true,false,false
37-9810082,mjacobowicz4z,ndowse4z,$964.32,D,false,false,true
35-8905967,cshreenan50,omapplebeck50,$8914.20,B,true,false,false
83-1778517,,ebenninger51,$4519.51,B,false,false,false
38-4876754,rcamble52,bsaunt52,$6849.79,A,false,false,false
02-3630539,,cnorvill53,$3873.18,B,true,true,true
35-4407685,,ewilkie54,$8637.76,B,true,false,false
65-0792600,agrinsted55,akobisch55,$3751.45,B,false,false,false
64-5293295,,rcalven56,$6085.51,A,true,true,true
12-4120122,dcockran57,sjosephi57,$4688.99,B,true,true,false
02-5762637,,ttenniswood58,$9840.55,D,true,true,true
13-9264936,,cblinkhorn59,$3797.47,D,true,false,true
55-3477903,cjenkin5a,llimon5a,$8859.40,D,false,false,false
25-7756359,khulks5b,gdehooch5b,$1157.99,D,true,true,true
01-1763517,spatrick5c,dfruchter5c,$4771.75,B,true,false,false
78-4309917,,eguy5d,$8010.01,D,true,true,true
54-4808950,nshearn5e,vfache5e,$246.19,B,false,true,false
24-1894533,athaxton5f,creina5f,$4621.28,D,true,true,false
80-5341510,bchastenet5g,jblackah5g,$7295.58,B,true,false,false
12-6487399,cbortolini5h,ctoomey5h,$8192.84,B,false,false,false
67-3201007,qabercromby5i,bmccurtin5i,$1449.06,D,false,true,false
43-9744011,dbond5j,ilamprey5j,$7755.04,C,true,true,true
16-7575529,kpitson5k,agludor5k,$1836.06,D,false,true,false
04-5569734,,mnovkovic5l,$4299.67,D,false,false,true
48-0935700,marmand5m,norys5m,$9876.26,D,true,false,false
92-4698670,,snoke5n,$9721.92,C,false,false,false
07-0508761,,mevered5o,$1388.36,A,false,true,false
33-9722643,lbirley5p,rorth5p,$3552.50,B,true,false,false
65-6339634,mkleen5q,rsamms5q,$2694.52,C,true,true,true
36-9690556,bniccols5r,msivills5r,$3510.32,C,true,true,false
74-5593671,bdosdell5s,cbaysting5s,$3099.22,A,true,true,false
52-3755237,mstreater5t,gferia5t,$6777.07,A,true,false,true
21-7915157,rsmissen5u,bbabbage5u,$5227.66,A,false,true,false
82-3883337,,bgascoigne5v,$4866.38,B,false,false,true
23-7599914,eschlag5w,pmcgaw5w,$4474.16,B,true,true,false
55-2770968,wbramsen5x,dhasker5x,$2371.59,D,true,true,true
92-2618460,eflello5y,mpiddlehinton5y,$7531.56,C,true,false,true
77-5468776,ffindlater5z,kjaslem5z,$6990.97,A,false,false,true
47-3622689,ceilers60,klivezley60,$248.32,A,true,true,true
97-4504993,,csnelman61,$348.70,D,true,true,true
65-8675089,,dconnealy62,$3876.37,D,true,false,false
72-7397919,wbridgeland63,gfeldhuhn63,$8591.28,A,true,true,true
39-9713490,,msiddens64,$5290.32,D,false,false,true
86-9185848,,mtersay65,$9570.66,A,false,false,true
01-9533496,,squerree66,$1182.89,D,false,false,true
52-5742502,jeuler67,pdow67,$1105.63,D,false,false,false
57-7109667,,bedwins68,$1430.96,D,true,false,true
66-1699562,acoopper69,wbruckent69,$7905.26,B,false,false,false
57-7070801,nmunks6a,nwickwar6a,$9615.32,A,false,false,true
38-7612481,spaeckmeyer6b,,$5368.00,B,false,true,true
89-2262188,,bbare6c,$7670.04,C,true,true,false
19-0014076,dkinder6d,clacrouts6d,$1959.15,B,true,true,false
65-3560176,espiers6e,fbyrch6e,$4301.82,A,true,false,false
89-5679490,hlamke6f,ddagworthy6f,$6909.51,D,true,false,false
09-9295091,twillmore6g,pattenbrow6g,$6765.19,B,true,true,false
15-3333392,dschuricht6h,jinglesfield6h,$4637.46,D,true,false,true
94-4933657,klanfranconi6i,ldat6i,$1417.34,B,true,false,true
09-7677594,chamsley6j,rbartley6j,$466.72,C,true,true,true
91-4472313,vtoman6k,bmecco6k,$4725.02,B,true,true,true
76-0999282,mmacgiany6l,drossbrook6l,$9971.80,C,false,true,true
49-9296530,mcapes6m,hchagg6m,$8293.49,D,false,true,true
81-7430631,egoodding6n,dbundey6n,$7747.48,C,true,false,true
73-1214776,mbrowning6o,scess6o,$2194.17,C,true,true,false
72-3271769,kschanke6p,,$7281.51,B,false,false,false
81-2393671,,souver6q,$9967.26,B,false,true,false
15-7089187,,glifsey6r,$8524.32,C,true,true,false
39-2050255,oprozescky6s,rsantus6s,$7628.79,B,false,true,false
01-5052395,,,$1710.94,B,false,true,true
93-3938221,cwarfield6u,aculkin6u,$8489.16,D,true,true,true
53-5832337,,mtodaro6v,$6381.49,C,true,false,false
16-5867286,bboig6w,,$8246.38,D,true,false,false
52-2933995,,mivel6x,$2874.06,C,true,false,false
06-6146886,,rwilflinger6y,$8709.93,C,false,false,false
60-0011449,,ctiley6z,$5310.99,B,false,false,false
72-3275518,,lbortolini70,$6344.75,D,false,true,true
30-1902392,mpriestnall71,mknowlson71,$5957.91,B,false,false,false
45-4224273,eplanke72,plearmonth72,$5249.26,C,false,true,false
94-3484921,priddoch73,ksharram73,$4463.18,D,true,false,false
14-2218696,dannice74,kmatteucci74,$3997.29,A,true,true,true
27-6832139,,jmcvicker75,$7176.99,B,false,false,false
22-6752464,gbarabich76,jcollar76,$3704.27,C,false,true,false
88-3969851,pfarres77,chackelton77,$8094.55,D,false,false,false
43-6002200,,bmorad78,$8209.29,A,true,false,false
07-0253078,drockey79,jsammars79,$6675.35,B,true,false,true
89-8812124,,pfreddi7a,$3775.29,A,false,false,true
44-4347388,tattersoll7b,jbiasetti7b,$949.62,D,false,false,false
57-7132877,cpenniall7c,kwaddilove7c,$1066.13,C,true,true,true
37-6042179,bskoggings7d,mghiotto7d,$7079.44,D,true,true,false
73-3150328,khain7e,pgirkins7e,$5651.37,C,true,false,false
03-7874930,aaish7f,jwetherill7f,$8471.87,A,false,true,false
22-7678454,mkirvell7g,jgate7g,$5743.47,B,false,true,false
31-4742776,gdoughty7h,jdimmer7h,$3948.77,B,false,true,true
32-1974699,wscuse7i,krew7i,$1679.15,A,true,false,true
97-1063045,,oroche7j,$7446.07,B,true,false,false
25-0564398,kvaskov7k,gpyner7k,$9883.71,A,false,false,false
45-7782147,mwildash7l,alineker7l,$5448.51,B,false,true,false
47-9298056,,tmcgiveen7m,$3292.37,D,true,true,false
32-2166634,,cbeminster7n,$2561.32,A,true,false,false
08-2586702,mdurward7o,woffin7o,$9032.63,C,false,true,true
45-3095972,,wstennet7p,$3241.18,B,true,false,true
11-5336055,,mfontel7q,$6413.12,D,false,false,false
98-0402458,,,$3706.28,D,false,false,false
52-3163572,,rkobelt7s,$8931.28,C,false,true,true
72-4625631,,kcorden7t,$5713.16,D,false,true,false
58-2814896,eboone7u,hnelane7u,$4645.38,C,false,true,true
56-5882283,,,$7122.74,D,false,false,true
57-5512408,,mkynton7w,$7302.95,C,false,true,false
42-1343128,,jbritner7x,$6914.33,D,false,true,false
96-5801362,xlamburn7y,toveral7y,$3959.32,C,false,false,false
35-7178730,ahouten7z,ftwigge7z,$1228.88,B,false,true,true
31-3684164,,csilversmid80,$7254.91,D,true,true,true
80-1019316,atattersill81,rgatherell81,$6829.39,C,false,false,false
07-9809751,dpriestnall82,,$8246.38,D,false,false,false
12-2838904,nfarebrother83,pfavela83,$1912.73,B,true,false,false
17-6428851,bbuyers84,nmckeurtan84,$9402.53,D,false,true,true
75-1819600,aeykel85,iagius85,$4524.18,C,false,true,false
41-3085318,lchudleigh86,avannet86,$2726.87,A,false,false,false
93-1583417,oaddeycott87,hruggier87,$2255.73,B,true,true,true
33-3412290,,mcornew88,$4214.23,B,true,true,true
90-6186708,wtring89,cuglow89,$1346.72,B,false,true,true
35-4250674,esouth8a,shenrych8a,$703.86,C,false,true,false
85-7966774,ichadbourne8b,hyashnov8b,$1431.85,C,true,true,false
59-7859015,vrodgman8c,ctheobalds8c,$2046.20,B,true,true,true
39-0748413,bchastand8d,cdagwell8d,$2355.34,D,false,false,true
29-6041358,ckrook8e,ddanko8e,$5757.35,C,true,false,false
20-0659861,,bblaske8f,$7342.51,D,true,true,true
12-3854341,hdaud8g,akacheler8g,$4399.52,C,false,false,false
73-0096524,rroony8h,sboulding8h,$2683.45,B,false,true,true
03-4579557,rcowin8i,lkretchmer8i,$4801.09,B,true,true,true
65-6042539,swaiting8j,,$5497.54,C,true,true,false
79-0525369,,lhamper8k,$4203.09,D,false,false,true
36-0745258,,rbockmann8l,$5551.45,B,false,false,true
35-6967170,,cbarrabeale8m,$9485.12,B,true,false,false
77-4123215,arivers8n,csharman8n,$5174.99,C,false,false,false
11-4363144,rfoxwell8o,fellam8o,$6985.04,A,true,false,true
67-9370479,,wglaum8p,$5805.38,A,false,true,false
25-5946767,hchartman8q,glefebre8q,$4511.33,D,false,false,false
07-0042454,choldey8r,dhanscome8r,$7889.80,D,false,true,false
43-3914869,,yrays8s,$7302.78,A,false,false,false
25-0179128,bhurch8t,cwinterflood8t,$3528.52,A,true,true,false
99-4077475,,hwoodburne8u,$1535.10,D,false,false,true
13-3603953,hfoulks8v,gjosephs8v,$4234.35,D,false,true,false
19-2761188,,acasaccia8w,$9131.01,D,false,true,true
02-9233866,sshimwell8x,hterrett8x,$3182.81,B,false,true,false
82-3030339,,rvanleeuwen8y,$6726.70,B,false,true,true
27-7536046,vboler8z,adeacon8z,$454.07,C,false,true,false
66-9894301,,myakovlev90,$2573.70,A,false,true,false
69-2425535,ptassell91,rjoblin91,$3089.28,A,true,true,false
35-2969114,,slefloch92,$8071.17,A,true,false,false
71-6445528,,dgroll93,$6674.51,B,false,true,false
71-6494586,mgisburn94,croadnight94,$1727.50,C,false,false,false
14-4771552,,ngerdes95,$4689.35,B,false,true,true
41-8065427,dcopello96,cgarforth96,$2867.25,C,true,false,true
30-7349247,ecolles97,scasol97,$1166.36,B,false,false,true
33-3976910,,msumnall98,$3603.48,B,false,false,true
96-7248872,csprowles99,aplayden99,$5442.67,C,true,false,false
00-7209780,bradmer9a,nhuyche9a,$9676.15,C,false,true,true
74-2041782,gwittier9b,,$6351.17,A,false,true,true
06-3194168,wrogeon9c,,$6725.06,D,true,true,false
47-2935490,escadden9d,,$3236.61,B,false,true,true
51-1389784,ehyde9e,eschuler9e,$6861.68,D,false,false,false
59-3826180,,htrail9f,$1095.02,D,true,false,true
89-8239465,vgrinnikov9g,nravilious9g,$5379.82,D,true,false,false
45-8172781,,nomeara9h,$706.96,A,false,true,false
99-5639823,,akearn9i,$9478.74,C,false,false,true
80-1445914,dburchatt9j,lfinlow9j,$5909.75,D,false,true,false
48-9580044,,mralling9k,$8568.71,D,true,true,false
40-3603515,anovis9l,gnoone9l,$4249.11,C,true,false,true
16-4512776,dtamas9m,,$2009.26,D,false,true,true
94-4059499,,ascinelli9n,$6969.75,A,true,true,false
48-2663274,mheiton9o,jhare9o,$8787.01,D,false,false,true
53-5844496,rbettley9p,eillyes9p,$8099.79,A,false,false,false
17-7932704,fmcalindon9q,,$8486.40,C,false,true,true
15-4548708,bhinckes9r,glynes9r,$5711.93,A,false,true,true
68-0918714,jbrothwood9s,lvears9s,$1847.86,D,false,true,true
39-7002482,,tkorbmaker9t,$3753.27,A,false,false,false
13-5481835,talenshev9u,mpurbrick9u,$3256.41,D,true,true,false
35-9987261,dmunnion9v,goppy9v,$9561.41,C,true,true,true
78-0092660,tzamboniari9w,adosdale9w,$6501.46,B,false,false,false
29-7362500,jnicely9x,spearn9x,$7948.53,D,true,true,true
07-6446298,chatt9y,tcragg9y,$7739.11,A,false,true,true
50-6750466,hlartice9z,cgreggersen9z,$3615.40,D,true,true,true
63-5797198,,bvennarda0,$2041.92,B,false,true,false
49-9315687,mtwella1,froubeixa1,$8999.51,C,false,true,true
22-0411756,kbullana2,,$2767.18,C,true,false,true
31-3700715,cspowarda3,gburgetta3,$4792.60,C,true,false,false
98-1007518,wanderla4,lhargrovea4,$201.88,C,false,false,true
89-7259773,jpinkiea5,disteda5,$9143.87,B,false,true,true
89-9852812,ptozera6,ktebba6,$5355.25,B,true,false,false
35-6045463,,amcnicklea7,$7935.71,A,true,true,false
54-1572979,ncrambiea8,,$9896.58,D,true,false,false
47-7652146,,tspinoa9,$763.12,A,true,false,false
63-4343412,,fberkeleyaa,$9564.29,B,false,true,true
88-5885253,,,$4900.79,D,true,false,true
78-6735470,,,$7584.40,C,false,false,true
56-8510961,etompkissad,cmachanad,$3120.92,C,false,false,false
69-3166072,tdeeryae,aivattae,$1944.94,D,true,false,false
53-3035164,ahebblewhiteaf,cblatchfordaf,$5127.19,A,false,true,false
52-2938521,,zvyeag,$8179.02,A,false,false,true
85-1168833,,gmcrobertah,$6203.41,A,true,false,false
27-1815696,,bnowlandai,$2830.35,B,false,false,true
20-2881309,,,$2660.56,A,false,true,true
46-8331021,kbillitteriak,,$3237.18,D,false,false,false
78-2822621,atschersichal,eoultramal,$9451.15,B,false,true,true
43-6234124,pwulfingeram,qagentam,$8498.15,A,true,true,true
16-2569862,hledinghaman,mairtonan,$6660.94,B,true,false,false
43-5036973,mberndtssonao,,$2704.55,C,true,false,false
95-7831514,sguidiniap,rscorerap,$1646.11,A,false,false,true
69-6307338,rlearnedaq,nstachiniaq,$8719.93,C,true,true,true
53-5511065,skiddellar,kheeleyar,$260.77,B,false,true,true
28-8774926,agillingsas,fhawkswellas,$7380.03,B,false,true,false
34-2881281,mhuckeat,kdzeniskevichat,$8648.57,D,true,true,true
29-1437237,creignoldsau,,$2903.64,D,true,false,false
84-3251178,,edeschleinav,$1699.08,C,false,true,false
34-1917702,snealeaw,kconmanaw,$9872.42,D,true,true,true
83-5299455,asansburyax,jmayceyax,$822.17,A,true,false,true
97-8266212,,amatisseay,$6642.61,C,true,false,true
67-7849450,,mlaightaz,$3131.64,A,true,false,false
05-3300141,cdiboldib0,llydiateb0,$2321.64,C,true,true,false
19-1104373,rcampellib1,dwatkissb1,$5806.50,A,true,true,true
47-5789439,bfilesb2,bgrevesb2,$6251.80,B,true,true,true
69-1216332,fvergineb3,ghatjeb3,$9981.06,B,false,true,true
21-0062820,,nstjohnb4,$8877.23,A,false,true,true
20-2026136,afreireb5,sclapsonb5,$2629.04,A,false,true,true
60-9400173,mharrissb6,zlumoxb6,$4361.18,B,true,true,false
15-6017303,rgudginb7,rgierathsb7,$4290.61,C,false,true,true
38-3419752,cmallisonb8,igerhtsb8,$6143.54,D,false,true,true
00-4202252,bscanterburyb9,hcolbridgeb9,$4103.12,A,true,true,true
70-7915286,clathanba,tzouchba,$2254.12,A,true,false,true
53-5363942,npotkinsbb,wbeasleybb,$5877.63,C,true,false,false
86-9091235,cparkeybc,jlorensbc,$6766.64,C,false,true,true
27-2592110,pcomportbd,rdimberlinebd,$6455.79,D,false,true,true
20-3314378,asaundercockbe,mbonsalebe,$9172.86,B,true,false,false
51-3691397,,cocodihiebf,$793.60,B,true,false,true
51-3052281,,hsommerfeldbg,$301.71,B,false,false,false
33-4371011,lshowlerbh,aravilusbh,$8316.14,A,true,false,true
65-7540296,sharkusbi,cmeadowsbi,$5017.05,A,true,true,true
52-3549192,rfieldsendbj,kfredibj,$9914.44,C,false,false,false
99-4340595,agreensetbk,sscasebk,$2082.70,D,false,false,true
34-1092736,djanuarystbl,,$7052.94,C,false,false,true
41-5381990,dgammackbm,hratnagebm,$8992.40,A,false,true,false
84-1490795,rhuskebn,hstofflerbn,$1553.73,D,false,true,false
42-3190249,,dcodebo,$8452.19,B,true,false,false
66-0338036,,rcraybp,$3729.44,D,false,true,true
57-1321357,,ldarwoodbq,$6287.74,B,false,false,true
65-1237416,,ecaustonbr,$6613.30,C,true,false,false
19-0999309,mspringbs,wsymcoxebs,$5643.98,A,false,false,false
42-2636693,hskelcherbt,btynanbt,$5384.99,A,true,true,false
46-9859766,,abullarbu,$401.22,A,false,true,false
74-6878825,tguidinibv,iwinbornbv,$7985.70,A,false,false,false
43-3443366,pbucktroutbw,bpippinbw,$2107.78,C,true,true,true
00-2513417,bmeijerbx,jprosekbx,$3815.12,D,false,true,false
41-0065827,dcomoby,ecaesarby,$8638.42,A,true,true,false
59-2598891,djirickbz,cshoutebz,$8819.41,D,true,true,true
26-5682147,mcranmorc0,hrockc0,$9071.84,A,false,false,true
48-7939638,rmaypesc1,bverlindenc1,$4089.40,A,true,true,false
52-1870555,omicheletc2,bdonetc2,$4796.08,D,true,false,false
37-6369738,,eleghornc3,$9252.94,C,false,false,false
85-2279834,,mmorradc4,$8563.89,C,true,false,false
47-4719029,,wsweetmorec5,$4489.04,B,false,false,true
59-2879099,rleathardc6,cjosefovicc6,$9724.14,C,true,true,false
87-9966608,amivalc7,mbrackc7,$1671.85,A,true,false,false
