ID,Name,Category,Salary,Count,Price
72-5797154,Odilia Deme,D,$335.88,47,$28.65
58-0896058,Yehudit Birchall,D,$653.96,10,$36.64
43-9579909,Herby Rielly,B,$192.63,5,$21.21
09-5801395,Laurene Viollet,A,$829.83,44,$23.47
53-5966520,Kaleena Kalkhoven,D,$336.48,48,$38.37
51-7082878,Owen Archbutt,A,$637.25,35,$30.31
04-4604535,Tobe Glowacz,B,$860.94,14,$11.74
27-3197953,Wright Polglaze,D,$925.80,14,$22.44
42-3702699,Clarey Gasquoine,C,$660.48,28,$16.11
98-2845762,Nola Berston,A,$852.90,27,$39.70
75-6057849,Frankie Grimsley,B,$741.50,14,$48.48
14-5441023,Sanford Jamison,A,$573.63,48,$26.17
27-3102854,Bel Braitling,,$425.06,48,$47.34
48-2629709,Rick Goodier,A,$683.93,14,$25.11
42-5944204,Leah McCague,C,$598.92,10,$25.01
22-5086562,Darleen Lyst,A,$948.79,28,$13.54
64-1905441,Robinet Brands,,$786.98,37,$45.13
80-6368125,Had Josephi,C,$194.25,8,$22.45
79-9725082,Pierrette Turfes,B,$555.79,18,$34.28
73-1767000,Aili Cullip,,$609.54,26,$33.73
53-8305996,Madge Stilling,D,$500.33,30,$22.68
13-5308237,Pooh Higgan,,$288.28,38,$32.69
64-5489015,Vince Windmill,D,$388.60,41,$35.25
99-8923753,Yolanthe Pauluzzi,B,$777.18,44,$34.11
66-1765221,Flss Force,A,$155.15,35,$13.60
64-3702480,Max Lowers,A,$393.25,14,$11.99
02-5647791,Adelaida Bjorkan,B,$332.05,36,$30.30
96-7948133,Jeffy Doggart,C,$486.18,45,$19.04
72-2576776,Ileana Settle,A,$783.52,7,$4.36
12-9830750,Alvin Rushe,D,$400.29,16,$12.38
90-9285490,Cyndi Farnaby,B,$192.54,7,$34.71
00-7571554,Tony Pautard,A,$772.32,27,$11.10
55-7887625,Loren Blazek,D,$238.54,5,$17.08
76-4923941,Payton Hiscoke,A,$328.29,22,$15.38
65-5699208,Quint Vasyutin,B,$396.74,19,$19.48
83-8942685,Tiena Sympson,A,$222.27,50,$4.08
23-3662546,Fraze Plom,C,$841.67,28,$43.72
66-8041547,Thain Seath,C,$292.08,25,$42.55
73-4608698,Andy Oldland,B,$701.26,33,$14.19
36-3363848,Issy Piotr,A,$613.61,3,$40.10
22-5994702,Moyna Beazleigh,A,$161.70,15,$22.44
52-1105233,Audrie Lamprecht,A,$561.70,49,$38.07
38-7943878,Letta Nelles,B,$878.88,1,$24.60
27-2540722,Victor Bazell,D,$577.77,33,$49.23
46-8270551,Keeley Lyford,B,$423.85,22,$24.73
42-8166980,Courtney Paute,,$430.44,39,$10.64
48-2662547,Mord Gannan,B,$533.66,2,$3.05
57-9153179,Sheila Lindsay,C,$639.72,40,$1.55
48-2206419,Anatola Torrie,B,$255.36,9,$39.76
11-9917658,Dari Ellery,C,$202.92,24,$13.39
78-8440663,Paloma Davison,C,$548.22,30,$29.16
27-0093826,Avrit Alabone,A,$985.61,34,$32.61
53-2130209,Irving Biaggelli,D,$392.91,8,$26.63
64-4033091,Dolph Dybald,A,$797.23,45,$11.94
21-3336131,Tripp Moyes,D,$945.60,32,$9.74
73-9902752,Christine Tanner,A,$674.68,1,$19.85
01-2439533,Nero O'Criane,B,$591.37,17,$32.95
60-1600897,Davidson Nornasell,C,$676.65,49,$26.39
19-7075143,Ker Vinick,D,$455.29,41,$23.29
95-3422840,Phillis Jedrzejczak,,$320.50,41,$27.25
03-1304452,Kevan Schuh,D,$939.76,43,$17.30
24-6141053,Rhianna Warcup,C,$960.77,12,$11.18
97-6710583,Cindelyn Odda,C,$505.69,12,$3.40
77-9377914,Heda Figgess,D,$955.52,33,$24.78
27-5784701,Fairlie Buckthorpe,A,$590.22,15,$20.39
55-0984258,Malcolm Hartland,B,$917.06,8,$35.32
35-9700692,Theda Wessel,D,$940.16,9,$14.86
77-1750596,Angy Outridge,D,$647.39,38,$21.88
05-8301241,Dottie Desorts,C,$966.95,10,$20.20
44-9274312,Nikoletta Peedell,A,$530.84,3,$37.27
90-2011013,Sherill Dwerryhouse,A,$429.46,32,$33.34
82-9918293,Herbie Sproston,,$947.96,28,$14.01
14-9096302,Deonne Aizikovitz,D,$739.06,10,$41.98
17-7385359,Berte Janek,B,$624.05,32,$4.05
55-1451621,Worthy Urling,D,$575.77,24,$7.82
91-0610930,Wilow Lichfield,A,$489.43,18,$46.31
15-9462872,Kissie McGunley,B,$442.87,31,$25.19
43-6065595,Sherilyn McDermot,A,$743.84,17,$11.65
87-6677759,Betteanne McGilbon,,$757.42,35,$22.81
81-1134541,Lorens Senyard,D,$131.41,5,$25.12
51-4983407,Carry Barefoot,C,$300.70,43,$31.92
20-1280112,Siegfried Daynter,B,$369.21,22,$38.03
78-8170187,Tisha Coundley,A,$417.41,4,$5.28
67-5223774,Court Willmore,D,$867.65,34,$23.87
85-9132289,Rriocard Nancarrow,A,$821.06,27,$17.78
22-9471460,Lemmie Brigstock,,$792.41,45,$31.30
18-7038666,Zachery Phillips,,$115.03,36,$49.24
94-6571656,Brandi Mazey,B,$937.32,9,$29.41
52-9399078,Marcelline Dummigan,C,$584.24,4,$31.12
34-9649172,Alla Semerad,D,$852.58,5,$14.04
57-2605181,Marybelle Sellman,A,$709.44,3,$31.21
21-1116405,Roley Brooksbank,A,$883.90,20,$27.47
37-5163109,Clara Rixon,A,$824.50,22,$15.38
68-2797062,Angie Tydeman,D,$556.50,41,$8.43
40-2820662,Willie Alesbrook,A,$362.09,30,$18.18
98-9407461,Augy Kermannes,D,$737.72,21,$16.18
85-6239748,Wallie Clohisey,B,$213.52,7,$48.50
41-7103714,Jesselyn Cowe,A,$602.77,39,$25.99
50-1131624,Perle Dayne,D,$660.45,36,$15.65
28-4621271,Pauletta Swadon,C,$336.30,48,$6.72
47-2643407,Blinny Fudge,B,$905.95,20,$42.34
81-3661828,Papagena Riggs,C,$291.13,22,$45.65
72-6942765,Kristien Mayston,C,$978.40,26,$1.32
48-3848662,Rudolph Vasyutochkin,A,$141.91,1,$10.56
51-0360844,Locke Cracoe,C,$644.41,19,$32.78
58-1724316,Stephan Wivell,A,$381.50,48,$1.71
83-6075107,Leoine Judge,,$369.38,42,$17.61
36-3326779,Delano Stanbridge,A,$373.12,31,$1.57
44-7921074,Ellyn Rymour,D,$491.65,36,$49.29
05-5268289,Sybila Morfell,A,$407.33,22,$29.90
28-7455961,Hyacintha Inston,D,$630.97,42,$41.55
19-7219294,Vasily Game,D,$342.15,28,$17.36
12-5139203,Demetris Mokes,D,$881.53,21,$20.83
26-8650699,Salomo Heaney`,D,$902.75,46,$42.25
54-0180745,Ursola Keming,B,$738.36,15,$42.58
25-5091872,Desirae Cuxon,C,$145.66,50,$48.66
87-6276690,Jo Philipson,B,$749.63,40,$4.84
51-0340583,Duky Sugar,C,$253.42,5,$27.68
83-6927589,Wallace Steffens,D,$590.20,14,$31.06
00-5680658,Aurore Klausen,A,$791.49,50,$4.91
84-1491148,De Spottswood,B,$967.80,41,$19.50
87-8449716,Joby Feldon,D,$816.59,48,$21.16
67-7868876,Eadmund Franklyn,D,$889.14,20,$38.66
17-4262073,Sibelle Pratchett,C,$439.17,28,$45.10
04-4397350,Anjanette Piddick,A,$620.48,27,$7.60
62-3371646,Jodi Dies,D,$379.31,45,$26.26
69-6769139,Haleigh Burchmore,A,$784.01,19,$31.13
10-8759685,Darn Lovitt,C,$942.27,32,$30.96
56-4744365,Lorena Whitefoot,B,$245.97,12,$6.00
56-2706113,Normand Laverick,B,$149.40,12,$48.97
61-8886703,Lanni Stouther,B,$631.89,40,$32.35
25-8393062,Janette Jone,,$918.22,45,$13.82
36-9236369,Kerry Dalziell,D,$625.78,13,$19.59
42-5396372,Guinna Alner,A,$248.69,40,$21.41
44-1883660,Dun Rudeforth,A,$774.35,29,$41.05
39-0852559,Thorny Halladay,C,$426.44,23,$11.49
05-0515760,Timmi Nockalls,D,$892.35,9,$7.32
87-8159143,Lucian Bastian,D,$698.85,3,$40.46
66-1541456,Elset Terrans,D,$629.63,12,$26.34
41-0232424,Gerry Petre,,$560.83,40,$47.76
27-3435594,Krysta Springett,A,$183.18,17,$19.14
65-4073257,Javier Lyddiatt,C,$878.54,18,$23.90
43-4222343,Peggi Blacket,B,$713.68,16,$45.45
29-7633964,Shelli Collop,B,$991.68,34,$12.49
38-4442962,Remington Mohun,D,$651.80,29,$1.82
64-0468900,Andy Coyish,C,$950.61,40,$6.67
90-6781489,Lynda Salling,B,$371.28,19,$38.52
88-3139049,Simmonds Adamiec,B,$902.96,15,$1.32
14-1797266,Chloe Garwood,D,$678.00,12,$38.68
15-5538934,Melva Flarity,B,$601.55,39,$14.11
05-4577162,Melosa Bagnell,A,$403.48,46,$49.66
55-4456262,Janella Hearsey,A,$987.84,21,$39.35
78-0420576,Davide Blodg,C,$438.28,48,$23.29
01-0499726,Miles Lorrimer,D,$844.40,26,$34.06
65-6574666,Happy Paskerful,D,$526.77,11,$29.65
60-5258609,Gino Muccino,C,$238.26,16,$33.74
05-7194686,Giulio Deport,C,$563.25,7,$6.15
85-6341500,Conny Tilmouth,C,$134.71,22,$39.67
90-9633029,Pearline Parramore,A,$812.47,16,$27.57
29-1077601,Horatia Ringham,,$411.02,48,$39.08
07-1361355,Wendy Caseley,C,$859.98,33,$27.15
56-5772815,Zak Rosier,C,$631.71,19,$8.21
13-9755380,Patsy MacKeague,A,$118.65,7,$5.03
96-2257753,Etta Feighry,,$475.57,49,$32.02
59-7790142,Pavel Duchart,C,$212.73,36,$29.79
85-4493094,Frannie Belward,C,$321.50,18,$24.67
61-3627441,Nealson Wallach,B,$285.81,13,$34.56
36-5185348,Aurel Hadwin,A,$768.51,2,$43.45
74-5563975,Juliet Jennick,D,$500.66,33,$40.56
51-1427236,Tammy Gepheart,D,$850.34,36,$39.39
50-4861164,Fern Oboy,C,$300.21,1,$8.28
23-9952318,Chrisse Tilbey,D,$668.68,32,$22.53
09-5350825,Dennis Menlove,C,$409.14,5,$29.64
38-9432147,Artemus Westell,B,$260.84,50,$31.12
72-8534106,Tanhya Theaker,A,$897.69,18,$3.78
66-6952864,Quent Dillintone,C,$959.20,47,$47.41
93-6103664,Christiana Josebury,A,$716.13,33,$18.14
25-2896252,Bee Oakinfold,B,$828.12,27,$1.15
36-3998372,Balduin Sallows,A,$554.69,40,$48.89
80-8407134,Lynea Drinkel,B,$660.54,46,$42.00
67-7017318,Star Brende,C,$689.85,37,$33.37
66-2355184,Willow Ciraldo,B,$438.66,7,$21.24
12-9486972,Piggy Deverick,C,$542.07,48,$42.43
03-0908463,Clemmy Tall,C,$668.97,37,$35.67
93-8870363,Amelita Dumbrill,A,$153.85,16,$2.50
60-0693144,Robbin Perrot,B,$955.03,16,$3.88
45-1502215,Stanford Bryden,D,$788.44,48,$12.66
41-0784714,Olvan Trump,B,$369.42,8,$33.10
69-3243691,Ricardo Jeandon,C,$962.51,35,$33.38
96-5641892,Maxwell Boarder,D,$799.06,7,$33.73
65-1811659,Roderick Lyptrade,D,$515.40,19,$27.66
15-2747825,Paulie Schoroder,A,$472.00,38,$23.80
87-6027062,Jarret Duley,C,$908.91,48,$16.99
14-7913591,Florry Brantzen,D,$198.54,25,$28.49
98-4101163,Ottilie Paddy,C,$769.47,18,$27.62
15-2247219,Allix Iley,B,$669.13,42,$1.11
08-4755520,Cletus Woodyer,B,$975.77,3,$18.25
93-0033544,Susanne Ivanuschka,,$781.99,4,$20.85
90-9739544,Jeffy Mioni,D,$488.81,14,$24.86
04-8426615,Quinlan Karlolak,C,$394.71,13,$2.57
40-3473876,Wain Gomez,B,$882.44,14,$14.61
08-4903416,Arch Braunds,,$634.52,22,$5.24
13-0668360,Ana Whilder,C,$408.80,7,$15.90
45-7335089,Blinnie Frantsev,B,$683.34,44,$5.26
43-3647081,Claudette Michallat,D,$225.64,24,$14.94
58-1621413,Roberta Balaam,B,$314.25,46,$43.73
41-6202234,Loralee Rushbrooke,A,$575.34,33,$41.56
27-3923385,Doti Morcom,D,$504.70,5,$34.91
45-9179636,Sephira Cringle,D,$511.53,35,$12.49
81-1226239,Danielle Phlipon,A,$495.70,45,$2.75
00-9257567,Krystle Gifford,D,$874.62,50,$40.09
19-0490035,Rowney Bramley,C,$888.68,49,$9.25
93-2200966,Feliks Banaszkiewicz,C,$460.40,31,$1.47
61-6575140,Carlie Mulrenan,A,$570.64,50,$4.66
03-3546038,Gertruda Forshaw,A,$284.86,27,$32.49
10-4158417,Anderea Cursey,B,$470.47,33,$12.17
77-5221907,Skell Zolini,A,$525.92,37,$43.58
81-9671733,Magnum Du Plantier,A,$752.04,7,$48.91
52-3259893,Aleta Lehrian,A,$299.09,21,$49.72
51-1837680,Lotte Sprigg,C,$494.52,21,$29.05
86-7917732,Ros Ida,C,$157.96,41,$36.98
50-7855692,Arleta Humbert,A,$455.20,23,$11.68
40-4924326,Aime Golly,B,$599.35,26,$26.40
56-7689780,Davis Darrach,,$449.55,23,$22.01
05-8639181,Brendin De Beauchamp,D,$619.43,26,$28.15
32-3716627,Chloe Bakes,C,$970.28,39,$34.90
13-6504329,Adore Larrie,B,$936.58,23,$47.00
90-2913254,Astrix Leaning,B,$103.34,4,$8.71
74-1419579,Aurie Goeff,A,$419.57,29,$23.79
48-2822524,Camey Tash,B,$689.35,5,$35.18
91-7524499,Vernon Collymore,B,$780.82,45,$27.47
99-5894563,Quent Flook,C,$894.88,50,$49.51
35-3505741,Karlan Pegler,B,$519.68,1,$23.33
64-5219808,Zarah Wroth,B,$147.35,5,$45.41
20-9686459,Deane O'Leagham,B,$478.61,45,$26.29
66-9266704,Natalie Blowfield,B,$394.44,14,$26.25
47-4753478,Jacinta Berthot,B,$297.32,39,$38.68
96-5620999,Brewster Whiteway,D,$115.63,40,$36.09
29-4428091,Lorry Slatter,B,$234.41,3,$45.21
94-2046029,Glynn Dudman,,$919.54,3,$12.71
10-4779503,Ignacius Giacubbo,,$687.56,23,$25.85
44-9108905,Charisse Quickfall,B,$120.15,24,$1.88
63-6670104,Rosetta Van Saltsberg,,$198.43,24,$19.81
09-9829718,Clifford Langtree,D,$792.72,13,$42.34
36-9378430,Lonny Rable,B,$694.59,5,$45.17
96-3157780,William Bozward,,$292.88,9,$8.21
26-2250927,Lucine Costar,C,$481.40,24,$6.97
58-4494151,Liv Andreuzzi,B,$738.46,44,$17.65
62-9210920,Cam Dobbins,C,$789.29,2,$7.50
88-3404942,Arlan Attoc,A,$465.71,39,$35.21
95-1295451,Catina Gelly,A,$721.94,38,$17.70
30-2947185,Ronny Pettigrew,C,$749.81,40,$40.63
22-0702232,Kevin Tregaskis,C,$539.53,34,$17.08
06-1401267,Byram Kingaby,A,$984.23,12,$41.32
49-4069615,Edithe Goodhay,D,$236.87,35,$31.65
16-9879764,Tymon Hallum,A,$335.63,10,$49.83
60-8751304,Rowe Lorenc,B,$489.18,26,$19.42
82-4975981,Kristel Rosenstock,C,$686.07,44,$19.45
96-9781774,Tripp Jenik,B,$496.35,17,$3.90
80-6944408,Odo Welton,C,$327.66,48,$28.55
83-7495421,Christie Casari,C,$380.62,33,$1.25
52-5380500,Karin Scammonden,C,$249.72,11,$49.99
58-4913206,Darby Pillans,C,$211.64,2,$27.40
12-2460086,Margaretha Matches,C,$980.78,18,$9.37
51-4971040,Demetrius Dallosso,D,$754.53,7,$29.50
28-6356617,Kati Brownhill,A,$746.00,35,$44.96
96-1850497,Floris Demanche,A,$147.28,37,$24.36
35-5075522,Hamil Hastelow,,$611.38,12,$36.91
18-6629940,Kahaleel Ferraresi,D,$887.44,49,$7.97
75-9871677,Sherill Lightewood,D,$955.20,22,$32.50
18-0031756,Joshia Craik,A,$805.40,10,$38.21
49-3661568,Helsa Sibray,B,$866.63,12,$3.12
07-9120435,York Rosengarten,A,$886.23,7,$28.22
74-1073925,Dianna MattiCCI,C,$932.03,28,$7.62
85-8935743,Jarrid Ruckert,D,$276.87,43,$12.53
32-3116350,Weber Lobley,C,$526.25,23,$17.02
34-1722376,Klaus Lloyds,A,$681.44,6,$48.70
98-1016149,Tristam Le Page,A,$871.64,37,$20.98
25-6084947,Aila Snelman,B,$672.15,32,$36.60
07-7225463,Adey Kermode,C,$525.19,48,$9.90
76-4463261,Rebekkah Saywood,C,$222.18,32,$48.00
35-3683942,Valeria Morritt,C,$466.37,13,$47.79
51-9251118,Garner Letch,B,$397.47,36,$8.99
97-0541087,Aidan Woolard,C,$815.99,8,$8.79
50-6323052,Janeen Bardwell,C,$328.52,7,$46.16
71-0800738,Lemuel Dupre,C,$234.56,3,$29.85
77-6030963,Jacquenette Groucutt,A,$697.80,38,$14.56
54-0838954,Beale Durtnal,,$873.63,9,$2.06
31-4196296,Stormie Walewicz,C,$220.44,10,$44.46
75-9385012,Cortney Eliff,,$111.19,12,$14.82
08-3597546,Nelie Iannuzzi,D,$263.00,4,$28.13
78-5643350,Heidie Alphonso,,$780.73,21,$27.23
67-2102108,Rosina Rennie,B,$824.00,42,$12.05
43-9239506,Jody Polland,D,$594.30,38,$37.52
45-3336782,Blair Whooley,A,$293.38,1,$40.25
21-8013519,Pat Ivanyushkin,C,$478.17,40,$13.30
23-0027637,Guy Loyns,D,$315.27,29,$24.93
13-6005594,Berton Tchir,D,$472.17,6,$16.98
61-5317938,Solly Halewood,B,$263.05,24,$31.19
98-0619769,Reilly Kibby,C,$166.40,24,$44.91
49-3516956,William Cumberland,A,$203.32,19,$20.66
43-6076489,Andrej Ox,C,$221.06,1,$1.43
28-9907917,Cecilla Wilmore,A,$128.01,17,$3.62
55-4047312,Mair Kidgell,D,$857.74,47,$41.03
83-8967943,Carri Dufaur,C,$133.86,12,$16.16
57-0943467,Rinaldo Hughland,C,$466.26,16,$27.79
17-5020107,Dallas Marde,A,$425.12,13,$29.68
90-0620233,Noach Buckoke,D,$766.50,43,$35.89
54-8274883,Immanuel Clayton,A,$285.14,14,$18.76
61-3877730,Windy Guilford,D,$113.79,5,$2.82
72-6149788,Gay Bridell,D,$941.17,3,$3.17
41-7033645,Glen Furtado,D,$271.16,12,$42.09
87-1443796,Minda Heitz,A,$652.61,20,$47.78
41-8833849,Sande Corneil,B,$643.02,39,$7.49
71-3676316,Tedmund McGeechan,D,$771.35,50,$4.73
43-7933486,Virge Cockshoot,B,$259.27,14,$38.45
54-7908411,Gunner Pordal,B,$713.13,11,$26.59
24-3615913,Nadiya Gowers,B,$763.25,36,$5.13
75-4108244,Fawn Morse,A,$131.21,46,$38.09
41-2245756,Berky Wettern,B,$937.45,2,$24.18
35-4592420,Chelsae Doree,C,$580.81,25,$46.18
51-8562107,Barbra Sinkins,D,$618.42,38,$6.54
90-8379301,Dena Gaiger,B,$960.23,2,$38.40
53-1704957,Teodora Manz,A,$104.80,9,$20.08
16-2967656,Hermina Helin,D,$266.74,48,$22.12
86-2900732,Cassius Gennings,,$327.52,8,$10.58
71-2259387,Rebecka O'Growgane,D,$372.98,16,$43.50
74-0293388,Christina Thayre,B,$328.44,22,$12.28
57-2976607,Lara Duchesne,B,$277.50,27,$27.12
27-9602487,Blakelee Skipsey,A,$226.64,47,$4.25
29-0827423,Flossy Wynter,D,$853.66,31,$29.61
34-7741304,Carmelia Andrieux,B,$278.26,25,$39.16
55-1404061,Shell Stolting,A,$832.48,31,$44.70
76-4200641,Robbert Dailly,C,$203.18,42,$19.48
40-8007376,Eada Braunthal,B,$124.07,47,$13.95
82-6506920,Dianne Jacox,C,$427.94,42,$30.61
53-5193708,Troy Tottman,B,$912.53,24,$13.13
95-1472148,Lisbeth Tasch,B,$180.92,33,$41.81
79-2536573,Quinn Gillyatt,B,$607.96,12,$5.60
39-7926937,Rachele Parkinson,D,$607.99,40,$15.44
87-9163835,Lea Cocke,D,$932.87,11,$26.21
78-1249012,Valentino Flear,D,$798.84,1,$48.50
06-3171922,Tobiah Napleton,B,$281.95,15,$18.97
23-4950301,Jerrine Dewdney,A,$998.41,3,$10.97
42-3226312,Marlo Shadrack,,$677.26,37,$31.09
42-4629955,Ailey Posnette,A,$706.19,23,$49.18
60-5073283,Bobbye Dresse,A,$721.33,47,$18.82
35-8339154,Riley Boak,C,$384.28,46,$27.38
26-9795662,Maurine Durtnell,C,$977.95,8,$49.65
27-8756660,Kimberly Lough,B,$491.02,18,$37.43
71-7163856,Haley Del Monte,B,$543.83,31,$21.59
47-6465690,Chris Bance,D,$301.32,37,$8.54
86-4391013,Sally Bruniges,A,$123.29,22,$26.51
62-1359985,Ginevra Websdale,,$773.65,16,$10.02
16-8623660,Steffen Stansall,C,$954.67,9,$29.46
28-2618658,Jewell De Bernardi,C,$533.82,18,$16.30
05-8430829,Caye McGuinley,C,$826.73,44,$44.31
85-6444204,Rodrigo McKeller,D,$856.00,44,$38.35
56-3768104,Emmett Yakuntzov,C,$548.20,33,$26.24
82-5902314,Barbabas Alves,B,$186.20,28,$45.21
46-8535429,Alain Petley,B,$332.68,26,$31.49
40-9495929,Cammy Begg,C,$312.45,34,$48.94
10-0150098,Rowan Doy,D,$335.50,46,$39.49
47-1533226,Carlota Hallam,B,$413.67,24,$45.44
11-1366445,Bettina Izatson,D,$831.35,49,$5.42
52-6426880,Rabi Callar,A,$385.79,7,$9.77
21-1446186,Clint Barens,C,$351.69,16,$49.55
29-6639992,Bobbette Walstow,C,$953.70,37,$26.34
54-6656967,Donnajean Harg,B,$464.92,23,$49.53
09-7167085,Caitlin Winterton,C,$559.66,3,$42.04
66-0493970,Amie Spinas,C,$185.01,36,$45.47
30-6064628,Bail Rikel,B,$842.73,1,$31.48
73-1798149,Nevile Kynvin,D,$663.63,11,$17.98
86-0906018,Mary Goodship,B,$891.02,27,$11.11
30-5559337,Linus Guerro,B,$463.86,6,$23.21
00-0142184,Carlo Dickman,B,$340.68,7,$20.88
16-0355140,Sandy Joyner,,$678.61,28,$21.06
70-7442584,Sindee Orme,D,$388.75,4,$32.26
86-5880295,Jeremie Maevela,A,$694.16,38,$28.73
29-3470669,Lyssa McKendo,,$921.53,6,$24.41
40-1949806,Nan Heddan,D,$531.92,11,$24.28
58-3997341,Kiersten Tunstall,C,$972.45,31,$18.30
98-0696443,Myrtice Jagiello,D,$939.88,10,$16.40
36-0122789,Deva Critchard,D,$681.39,44,$40.47
14-9447234,Samantha Semens,B,$608.86,15,$26.96
63-3771865,Von Perchard,,$155.14,15,$5.74
86-3797120,Celinda Snazle,,$416.67,1,$18.31
88-6031828,Harcourt Lenoir,C,$554.09,47,$19.02
41-6402979,Rriocard Brooksbie,B,$341.29,22,$14.31
52-3006384,Arlen Broggio,A,$826.04,15,$48.82
21-2181194,Alphard Fer,B,$814.92,20,$9.87
24-0906671,Goraud Batchan,C,$263.97,45,$13.55
20-0360978,Adrien Ackery,,$606.87,37,$29.61
07-2388462,Ryann Sansam,A,$750.12,35,$45.68
13-5380132,Frederich Meo,B,$780.58,23,$23.58
91-6458555,Neely Bealton,D,$839.20,47,$34.28
55-9944285,Alana Pretswell,D,$997.94,8,$15.88
45-3949349,Kilian Campanelle,C,$678.92,47,$31.94
68-1597833,Maxwell Davey,A,$432.08,29,$17.84
89-2361470,Anstice Langabeer,C,$558.75,40,$43.09
80-8096031,Mic Leates,B,$365.01,30,$20.86
82-8699024,Michael Lawn,D,$978.62,4,$15.51
76-8729621,Felic Charlewood,B,$758.25,14,$33.72
70-5810673,Louisette Ciccetti,A,$405.66,8,$38.22
35-8785234,Shawn de la Tremoille,C,$616.68,7,$40.93
39-7322670,Maison Borles,C,$525.49,16,$12.09
79-5558989,Glori Gianuzzi,B,$960.48,32,$21.33
90-4061995,Garth Roostan,D,$889.51,10,$48.55
21-9791113,Benetta Grewer,B,$468.45,4,$45.53
79-8342323,Cacilia Garstan,C,$609.79,1,$3.19
97-8107317,Kerri Torrance,B,$593.93,26,$34.34
41-8034670,Vin Seear,C,$935.58,41,$22.33
62-4153206,Stephi Dottridge,A,$245.90,22,$42.20
90-1849630,Elnore Cockling,B,$116.48,6,$37.94
48-8939636,Hester Nias,B,$236.72,8,$25.04
20-2890386,Marijo MacGahey,C,$204.18,38,$9.46
37-1345544,Kerwin Loddy,,$474.51,5,$46.61
31-0253959,Erv Frew,C,$323.45,45,$36.33
07-0055592,Lynnette Olliver,,$943.04,16,$16.28
63-0187278,Lorraine Mylan,B,$730.21,22,$16.78
86-6322693,Kerry Chamley,C,$367.88,43,$25.70
57-7133557,Andrus Tutchener,C,$262.09,12,$13.39
06-5825984,Aloisia Tubbs,A,$315.06,19,$25.93
88-2580350,Dyane Tyler,A,$900.31,45,$39.14
39-7781553,Indira O'Regan,B,$834.61,32,$42.49
