ID,Fname,Lname,Department,Money,HasDiploma
05-5261896,Hewe,Haddy,бухгалтеры,$9348.13,true
85-4255328,Adriena,Kalewe,программисты,$72724.15,false
83-3821034,Michele,Skeeles,бухгалтеры,$1389.04,false
96-7805694,Hamel,Klassmann,инженеры,$55915.90,false
53-0054375,Kendall,Attaway,программисты,$22412.18,true
92-4684078,Gino,Wallis,программисты,$34799.96,false
28-3703885,Drud,MacCracken,бухгалтеры,$19656.79,true
11-4847095,Jane,Cheake,инженеры,$33759.99,false
96-6860160,Alis,Calyton,бухгалтеры,$66007.52,true
79-8059946,Danie,Ivimey,программисты,$56137.67,false
01-9171486,Joela,Brownlea,программисты,$15161.19,true
41-0877608,Stevie,Peter,инженеры,$92983.03,true
26-7798356,Kikelia,Adamowicz,программисты,$7592.98,true
60-8268472,Kass,Domerc,бухгалтеры,$82107.42,false
14-4564197,Francesco,Leatherbarrow,инженеры,$10993.83,true
32-4351843,Barris,Daen,программисты,$90055.98,false
96-7509582,Renato,Benardet,инженеры,$26022.69,false
30-2530203,Humphrey,Bemrose,бухгалтеры,$78435.09,true
83-8519879,Malvin,Robard,программисты,$76706.69,true
44-2376079,Keslie,Hamshere,инженеры,$51511.38,true
79-6634598,Kaia,Forsbey,программисты,$99059.55,false
53-5746787,Prescott,Elder,инженеры,$89607.63,false
00-9526937,Andeee,Williamson,инженеры,$60300.56,false
61-8769463,Linoel,Popeley,программисты,$25025.20,true
14-1018143,Donavon,Udie,инженеры,$88712.36,false
39-2152267,Base,Dahmel,бухгалтеры,$29014.87,false
67-7261888,Darline,Rigts,инженеры,$33842.24,true
21-9123446,Lanae,Watchorn,инженеры,$76941.49,false
73-6012840,Keen,Axcell,программисты,$27721.72,true
27-7989335,Romeo,Zamboniari,бухгалтеры,$39773.85,true
50-1876646,Keary,Spillane,программисты,$50804.59,false
14-1344090,Ker,Cope,инженеры,$26625.30,false
34-5597919,Sylas,Briggdale,программисты,$2437.81,true
76-7151518,Venus,Dooly,программисты,$22973.65,true
00-1969759,Antonino,Ixor,программисты,$71747.76,true
88-4937003,Goldi,Tibbetts,инженеры,$43205.07,true
45-1518305,Pippo,Reitenbach,инженеры,$64313.33,true
13-0851051,Roshelle,Bellerby,программисты,$62793.03,true
08-3084847,Almire,Di Meo,инженеры,$34030.76,true
53-5483074,Kathye,Samter,программисты,$12229.01,true
32-8361598,Kikelia,McKague,инженеры,$24797.75,true
99-7194183,Ermengarde,Thunnerclef,программисты,$69721.54,true
83-4966045,Debby,Dunderdale,программисты,$48402.08,true
62-2063700,Rick,Dunbabin,инженеры,$56885.24,false
48-6501095,Jasmina,Barnewelle,инженеры,$46756.03,true
53-9726430,Roddy,Veryan,бухгалтеры,$78917.99,true
01-5558566,Yardley,Scollick,инженеры,$76693.09,false
53-4380357,Luciana,Middlemass,инженеры,$31209.32,false
75-1735823,Malcolm,Jenny,программисты,$24164.82,false
34-5300090,Anny,Ridout,программисты,$69376.64,false
04-2107268,Vanya,Sprigin,программисты,$36336.65,false
75-5564884,Esra,Fishley,бухгалтеры,$23601.30,false
12-7075556,Alison,Hatley,инженеры,$15129.18,false
69-1531414,Kareem,Witter,бухгалтеры,$63739.74,true
66-0887413,Carlina,Rosenfeld,инженеры,$97054.23,false
69-6064648,Sioux,Tuley,инженеры,$31210.04,true
51-3369593,Patric,Tyre,программисты,$21591.50,false
48-9664176,Elva,Blunsom,инженеры,$17592.88,true
81-2699755,Enid,Wollrauch,программисты,$26366.66,true
43-6414223,Cristine,Pawelke,инженеры,$39889.94,true
50-7410987,Maurizia,Burleigh,программисты,$54128.97,true
50-0117587,Merna,Pinn,программисты,$8384.95,false
56-3609871,Wenonah,Presley,инженеры,$23291.12,false
60-4444284,Steffane,Nerney,программисты,$88384.22,false
01-6969981,Tobin,Kirkham,программисты,$24172.10,false
70-1907898,Fidelity,Dodridge,инженеры,$38935.43,true
06-1952304,Normand,Pestell,программисты,$1647.12,true
50-3042144,Darwin,Redman,программисты,$17099.77,false
19-1076626,Jeffrey,Boustead,бухгалтеры,$21380.54,false
37-1320019,Sim,Musso,инженеры,$80364.10,true
02-9006116,Rina,Devennie,программисты,$57953.80,true
63-1791302,Edan,Van Waadenburg,бухгалтеры,$33523.14,true
74-2740248,Linzy,Allain,бухгалтеры,$85626.29,false
83-1980471,Ursulina,Maskrey,программисты,$44446.11,false
31-4312614,Lucian,Fragino,программисты,$37110.62,true
98-2871580,Heall,Coniff,программисты,$21813.55,false
65-9214699,Sibyl,Karpman,бухгалтеры,$25948.92,false
00-7925400,Hinda,Jakubovitch,бухгалтеры,$17913.00,true
28-7364874,Fidelia,Jouannisson,бухгалтеры,$97929.59,true
56-1978742,Debor,Spadaro,инженеры,$54501.92,true
84-0109732,Gabi,Degli Abbati,бухгалтеры,$40086.68,false
07-1513320,Cathi,Nekrews,инженеры,$10533.93,false
94-0579125,Krystal,Ashurst,инженеры,$31019.12,false
26-7227981,Marco,Freund,инженеры,$79385.34,true
75-8840565,Galvan,Pirrie,программисты,$53208.65,false
19-9904921,Danya,Samuel,программисты,$10667.19,true
70-8389806,Thatch,Vasyanin,инженеры,$78822.64,false
24-6200613,Trudie,Maso,программисты,$5288.99,true
87-0708387,Nelia,Salack,программисты,$38579.56,false
30-4495019,Jo-anne,Ruller,бухгалтеры,$78008.42,true
32-8114884,Jule,Mingus,программисты,$19724.84,true
63-9976946,Constantina,Rawcliffe,бухгалтеры,$39729.14,false
09-3334851,Minni,Bakesef,программисты,$20854.22,true
65-5360721,Collin,Lassells,программисты,$64362.39,true
44-4990771,Sam,Sowte,программисты,$7094.02,true
08-7182462,Caterina,Imlin,бухгалтеры,$68863.30,false
00-3286216,Jard,Broomfield,программисты,$88825.33,false
91-1170414,Ailis,Cornehl,бухгалтеры,$89208.18,true
81-6098134,Diahann,Grutchfield,программисты,$20941.93,false
33-1075350,Goldina,Sainsbury-Brown,программисты,$48300.47,false
95-6722621,Pebrook,Euplate,инженеры,$56490.22,false
21-8921280,Toddy,Langsbury,программисты,$40817.96,true
32-3061887,Kennett,Martt,программисты,$86824.92,false
52-5945615,Ettore,Getch,бухгалтеры,$81064.66,false
15-3137493,Karisa,Earsman,бухгалтеры,$21078.26,false
72-5895470,Lew,Fucher,инженеры,$76771.92,false
11-0541948,Mervin,Bridgman,инженеры,$71227.85,true
36-6348949,Christiana,Ghidoli,программисты,$28101.44,true
66-8344333,Madelene,McRannell,бухгалтеры,$62987.90,false
26-3440198,Irwin,Pietz,программисты,$7609.42,false
45-2446365,Harmon,Attridge,бухгалтеры,$3887.55,true
64-0947155,Maribel,Badwick,программисты,$40533.85,true
89-2236879,Aidan,Goodhand,программисты,$40662.39,true
34-8526112,Dot,Woodman,бухгалтеры,$92068.58,false
91-9878878,Samantha,McGarrity,инженеры,$9266.18,true
31-3778131,Cyndie,Emerson,программисты,$5454.97,true
09-6375534,Raymund,Partington,бухгалтеры,$8611.60,true
01-1646955,Allyn,Reichartz,инженеры,$38647.39,true
44-4214696,Laina,Falla,бухгалтеры,$37774.95,true
77-6569939,Abran,Van Leijs,бухгалтеры,$76722.99,false
97-1027156,Cher,Kettel,бухгалтеры,$17819.45,true
58-4970363,Brooke,Pionter,бухгалтеры,$33030.22,true
46-3227651,Melisent,Boxe,бухгалтеры,$50753.36,true
95-8785027,Eirena,Gaylard,программисты,$33956.12,true
40-1410934,Rochester,Hacquard,инженеры,$60309.97,false
43-4446813,Giulia,Deboo,программисты,$64731.05,false
36-3403675,Boony,Jagiello,бухгалтеры,$8039.42,false
57-3536349,Jim,Thaxter,программисты,$83770.34,false
49-9443825,Garfield,Yearns,программисты,$87953.79,false
34-4088893,Vin,Hallmark,программисты,$22956.61,true
99-2938340,Kally,De Freyne,бухгалтеры,$1053.76,true
90-4947282,Thayne,MacBey,программисты,$85731.34,true
73-3547891,Sheree,Orrah,программисты,$18440.21,true
57-3027367,Constancia,Jordeson,инженеры,$40328.69,true
16-9999914,Hervey,Billington,программисты,$88204.00,true
42-1073845,Krystyna,Ollarenshaw,бухгалтеры,$46325.00,false
75-1517929,Eb,Frenzel;,бухгалтеры,$79468.83,false
10-3995397,Dehlia,Grube,инженеры,$91180.09,false
40-4077189,Heywood,Mcasparan,бухгалтеры,$33032.22,true
19-1780266,Fawn,Clem,программисты,$73085.21,true
73-2931425,Manuel,Monroe,бухгалтеры,$85344.87,true
12-3981716,Danya,Drury,бухгалтеры,$1878.64,true
68-7402692,Crichton,Kinker,инженеры,$4773.73,true
45-8948732,Carl,Brumwell,бухгалтеры,$41895.77,true
30-7510710,Wilburt,Dimsdale,программисты,$62889.90,false
51-5931704,Javier,Cready,программисты,$46533.32,false
35-7954402,Ansley,Whittle,бухгалтеры,$99412.61,true
51-1120959,Zachary,Kewzick,бухгалтеры,$10840.39,true
60-8335412,Hilda,Sergeant,бухгалтеры,$6746.28,false
35-9733462,Batholomew,Vidgeon,инженеры,$18521.14,true
08-0288754,Pamela,Jeskins,программисты,$4295.40,false
48-5394760,Llewellyn,Hainning,программисты,$8066.11,true
94-6882155,Hiram,de Almeida,бухгалтеры,$19380.55,false
32-6698183,Ferdinande,Stowgill,инженеры,$90693.64,false
77-8676797,Neall,Tours,программисты,$32030.68,true
79-3962316,Bebe,Izsak,программисты,$73612.57,false
51-5664718,Forrester,Kindleside,бухгалтеры,$33449.07,false
23-2359618,Kele,Van Dijk,программисты,$36810.96,false
96-0065933,Janek,Enric,бухгалтеры,$84804.58,true
18-9529163,Tan,Kilpatrick,инженеры,$30178.70,true
77-8423128,Padget,Lummasana,программисты,$14748.80,false
22-8183090,Kirby,Gimblet,программисты,$9121.57,false
11-3064746,Carolee,Oldroyde,программисты,$49509.93,true
18-8974540,Elwyn,Connikie,бухгалтеры,$34058.68,false
22-0409353,Frederico,Cariss,программисты,$34775.37,true
10-2653870,Helenka,Zuann,программисты,$85622.04,false
97-1464157,Kory,Younghusband,бухгалтеры,$64297.74,true
95-9502604,Madonna,Elsmore,бухгалтеры,$98149.02,true
35-6887241,Gaven,Kenwright,бухгалтеры,$72904.59,true
54-4409483,Jerry,Bangs,бухгалтеры,$41365.03,true
14-5002323,Arielle,Karpenko,бухгалтеры,$48140.62,false
84-1365746,Boyce,Weine,инженеры,$78658.12,false
84-1984276,Erie,Hackly,бухгалтеры,$61720.82,true
05-6276189,Iorgos,Yakovich,программисты,$44099.20,true
33-1213081,Hamel,Burnel,инженеры,$70082.71,false
15-5311410,Claudian,Waith,программисты,$94355.35,false
59-5680083,Roldan,Scotsbrook,бухгалтеры,$93996.50,false
97-7992601,Marlena,Kiddie,бухгалтеры,$68316.35,false
82-7571384,Caz,Sesser,инженеры,$58580.11,false
38-4454121,Cornall,Innes,бухгалтеры,$15080.24,false
53-8791675,Lucas,Reary,программисты,$54449.60,false
67-6158766,Mariska,Leggon,инженеры,$32395.18,false
75-4048992,Hubey,Filshin,программисты,$99792.08,true
19-7936982,Merry,Sewall,инженеры,$48406.38,false
34-9078236,Allix,Full,инженеры,$52082.74,false
00-4233508,Meggi,Firidolfi,бухгалтеры,$12550.55,true
22-3128841,Jayme,Clayhill,бухгалтеры,$28260.99,true
81-7943481,Chan,Guidera,программисты,$40925.46,false
83-6282047,Enrico,Antoniazzi,бухгалтеры,$58022.04,false
93-7463982,Tricia,Salvati,бухгалтеры,$73176.45,true
75-0756993,Mabelle,Kitney,инженеры,$92382.40,true
49-1823089,Robert,Ladbrooke,программисты,$17184.69,false
71-8526598,Belicia,Burris,бухгалтеры,$92454.94,false
82-6560782,Brook,Arnaudot,инженеры,$58573.59,true
49-4542735,Karisa,Largan,инженеры,$27086.02,false
73-9478982,Thor,Wickersham,инженеры,$47086.18,true
97-2759135,Katleen,Ikin,инженеры,$78630.01,true
58-6613974,Jermain,Mussared,программисты,$12770.60,true
98-4390469,Reine,Alvy,бухгалтеры,$38916.94,true
70-5495393,Yoko,Iashvili,инженеры,$28519.26,true
06-7144133,Olvan,MacLeese,бухгалтеры,$41357.71,false
43-9593502,Colman,Ilchenko,инженеры,$69513.44,false
35-1505284,Starr,Fiveash,инженеры,$55925.72,true
62-0073798,Wolfy,Mattson,бухгалтеры,$86505.97,false
06-5248011,Corty,Pigeram,программисты,$64758.28,false
70-4797301,Ugo,Teaz,инженеры,$6484.27,true
86-1783265,Layney,Royall,инженеры,$81947.23,true
48-1302275,Miranda,Philcock,бухгалтеры,$58890.78,false
63-4706847,Tersina,Dorant,бухгалтеры,$91735.70,true
62-5598613,Maris,Keningham,бухгалтеры,$95704.27,false
23-3588711,Edythe,Pyett,инженеры,$40038.55,true
38-1909296,Rossy,Lissemore,инженеры,$76919.37,true
14-3427639,Klara,Woof,инженеры,$81474.60,false
49-7706567,Jordanna,Pietrzyk,программисты,$91268.66,false
05-3318253,Grannie,Dignum,программисты,$38460.34,true
42-6464783,Wadsworth,Benting,программисты,$78963.07,false
67-4394387,Mandi,Thwaite,инженеры,$94638.87,true
13-3366588,Patrizio,Maryman,инженеры,$82344.25,true
49-3503868,Garreth,Have,инженеры,$66314.07,true
35-7074642,Rhona,Jodrelle,инженеры,$1381.97,true
70-5212966,Desmund,Permain,программисты,$30778.37,false
79-5410069,Clare,Pepall,программисты,$17727.13,false
00-4218385,Alexia,Oxtarby,бухгалтеры,$29474.08,false
34-4714284,Dom,Ainley,инженеры,$72580.58,false
21-5820662,Vivie,Mates,инженеры,$69341.21,true
13-9794216,Cortney,Chastey,программисты,$89518.05,true
14-0484109,Fabien,Bromige,инженеры,$50789.00,true
34-4274789,Fidel,Bester,бухгалтеры,$43915.45,true
63-5431065,Orlan,Aime,программисты,$16554.13,false
40-6118066,Sheela,Caldeiro,бухгалтеры,$35281.22,false
41-3740369,Celine,Graeser,инженеры,$41304.74,false
25-3378681,Demetre,MacShirrie,инженеры,$56179.29,true
40-1628166,Millicent,Borkett,инженеры,$57709.53,true
53-5896473,Akim,Kenworthy,программисты,$45630.82,true
41-8874783,Darrelle,Durram,бухгалтеры,$12899.99,false
90-7911796,Bar,Jimes,программисты,$11291.43,false
80-7010632,Ingeberg,Fieldhouse,инженеры,$86260.78,false
94-6893660,Barbee,Weild,инженеры,$20623.07,true
37-6507031,Germaine,Krimmer,бухгалтеры,$74304.62,false
59-4955996,Loraine,Sieghard,программисты,$26864.72,true
08-6777511,Sylvester,Ledram,бухгалтеры,$25211.35,false
95-2784851,Linzy,Brotherick,бухгалтеры,$27654.43,false
60-1942446,Chloris,Braun,программисты,$65969.28,false
61-5743516,Dilly,Sobieski,программисты,$32970.86,false
89-3648261,Chantal,Lonsbrough,инженеры,$27503.48,true
02-4581553,Johannah,Lorkings,инженеры,$59430.55,true
40-0286583,Adelheid,Marrion,бухгалтеры,$19752.05,false
10-4202651,Elyssa,Morrow,бухгалтеры,$77431.91,true
74-3346832,Ernest,Rallin,бухгалтеры,$40529.55,true
95-5668807,Niki,Camilli,бухгалтеры,$97255.78,false
47-4880378,Granthem,Michele,программисты,$43057.37,false
39-0712147,Tana,Frowde,инженеры,$49615.36,false
26-6418770,Shaw,Kenninghan,бухгалтеры,$9512.00,false
75-8540469,Danna,Ever,инженеры,$54544.01,false
18-3645927,Chad,Kembley,бухгалтеры,$86871.43,false
83-7840652,Aggie,Forkan,бухгалтеры,$40293.34,false
32-2821203,Gregory,Bordone,инженеры,$20511.23,false
71-6711260,Sandie,Heart,бухгалтеры,$85941.15,false
40-2278069,Filippo,Vasyutkin,инженеры,$74707.11,true
47-5740474,Rance,Pigdon,инженеры,$82474.40,false
28-6022264,Kathrine,Beden,бухгалтеры,$77339.21,true
15-0392669,Cathlene,Fair,программисты,$15356.97,false
77-5292806,Pate,Bullard,программисты,$21919.01,false
80-3430394,Ardeen,Ivell,инженеры,$88541.62,false
24-5999580,Grace,Kelemen,программисты,$88883.06,true
54-1924869,Hagan,MacKall,инженеры,$77711.09,true
42-8501263,Cosme,Sanger,программисты,$7481.73,false
95-9604510,Beniamino,Patis,программисты,$1246.04,false
74-9548966,Pauletta,Kiely,программисты,$57006.31,false
32-2359817,Rica,Matanin,бухгалтеры,$30840.78,false
48-7779160,Pate,Cummins,инженеры,$32531.51,false
73-4589459,Jase,Cake,инженеры,$67006.67,true
07-1159249,Colly,Polamontayne,программисты,$21920.13,false
88-8805495,Teirtza,Linsley,программисты,$4553.47,false
38-5294021,Jennica,McAuslan,программисты,$55222.36,true
03-3948168,Hazlett,Cremen,программисты,$51979.29,true
33-8699518,Jim,Higounet,бухгалтеры,$93781.87,true
11-2913852,Karil,Lambillion,программисты,$74159.08,true
61-2955371,Ina,Bissex,бухгалтеры,$5495.60,false
03-1376841,Melony,Weldon,бухгалтеры,$35536.13,true
63-9737912,Shaw,Chaperling,бухгалтеры,$13105.88,true
63-3084792,Clovis,Reskelly,программисты,$38546.24,false
47-1884399,Lissi,Guerra,инженеры,$30768.08,false
88-6892311,Marlo,Buzza,программисты,$57026.33,true
55-6408593,Katine,Schwandermann,программисты,$26923.48,false
89-3878644,Ryley,Fulleylove,бухгалтеры,$87703.52,true
24-1119166,Larisa,Peoples,бухгалтеры,$34836.53,true
87-2918548,Rolando,Wingar,инженеры,$36155.72,true
20-0947686,Ilse,Stout,инженеры,$78731.11,true
41-7065875,Baily,Kesby,программисты,$40990.78,true
78-4145686,Ester,Hassett,бухгалтеры,$3816.05,true
05-5597608,Anatola,Hickisson,программисты,$33250.74,false
31-4821309,Allianora,Amiranda,инженеры,$58921.94,true
18-3665070,Amelie,Lomen,программисты,$38267.55,false
26-4787005,Tobi,Bettanay,бухгалтеры,$92373.46,true
91-5185468,Walden,Sarfati,инженеры,$56728.23,true
13-9197657,Othelia,Dudeney,инженеры,$77773.01,false
34-5046093,Constance,Gilbart,инженеры,$97345.98,true
84-8879965,Guillaume,Trinbey,программисты,$69354.70,false
78-8312572,Benedetta,MacGillespie,бухгалтеры,$23326.27,false
56-1672950,Stearne,Hickenbottom,программисты,$65207.16,true
32-3458659,Cyril,Berriman,программисты,$48391.98,true
21-9227563,Ellwood,Tossell,программисты,$65009.50,false
79-9663591,Garrik,Hutchinges,бухгалтеры,$24695.25,false
09-8230486,Birgitta,Reina,инженеры,$35872.90,false
69-0551394,Jermain,Aughton,бухгалтеры,$55009.13,false
93-8951659,Clayson,Wellesley,бухгалтеры,$93990.27,false
47-5631159,Urbano,Paulley,программисты,$34081.87,false
70-3637418,Viviene,Ashborne,инженеры,$67520.97,false
30-9114215,Chelsy,Skally,инженеры,$36487.30,true
03-8495662,Brittne,Wadlow,бухгалтеры,$81591.85,true
90-5585596,Pablo,Colaton,бухгалтеры,$38203.34,true
66-3841799,Gallard,Smouten,программисты,$72864.01,false
41-7184734,Kit,Ciementini,бухгалтеры,$85277.83,false
06-4810000,Theressa,Kennet,программисты,$4399.30,true
09-2850590,Victoria,Button,инженеры,$98185.62,true
99-3542014,Hannie,Skypp,бухгалтеры,$64037.62,false
07-3357007,Aurilia,Cutchie,бухгалтеры,$31123.84,true
43-2799087,Muhammad,O'Sheerin,бухгалтеры,$62024.58,false
00-4902041,Alwyn,Shuker,инженеры,$59360.94,false
17-4945501,Gwenneth,Bottle,инженеры,$79294.21,true
61-5839565,Chevy,Demangel,программисты,$66622.32,true
69-2877427,Shep,Lindstrom,бухгалтеры,$1163.67,true
52-0222668,Alyce,Bresland,бухгалтеры,$25850.76,false
85-6876102,Dinnie,Pickburn,инженеры,$9691.86,true
07-9379854,Jeannette,Loosemore,бухгалтеры,$72558.88,false
37-4146172,Shantee,Mackley,программисты,$31148.96,true
54-5981136,Moises,Dowle,бухгалтеры,$45880.46,true
86-4084879,York,Hacaud,бухгалтеры,$99681.03,true
13-5363126,Lucius,McAuliffe,бухгалтеры,$90842.31,true
10-9390097,Clarisse,Marielle,инженеры,$79080.09,false
59-1164719,Raye,Caro,бухгалтеры,$53939.70,false
16-9828938,Palm,Haycroft,инженеры,$26112.64,true
17-6770872,Philippe,Farnin,инженеры,$86589.77,false
71-4097828,Briney,Colbrun,программисты,$84348.07,true
70-4028461,Kristofer,Balle,программисты,$10427.34,true
76-3086766,Smith,Hawgood,программисты,$91449.74,false
97-1678809,Jerrie,Sheen,бухгалтеры,$18509.40,false
10-6231789,Eal,Disbury,программисты,$53611.45,true
08-0524081,Waiter,Coite,бухгалтеры,$16301.92,false
93-6752162,Freda,Portress,бухгалтеры,$74186.87,true
35-1113585,Kelly,Pittock,бухгалтеры,$20418.61,true
32-6162500,Silvain,Smethurst,инженеры,$13293.93,false
73-2858202,Marylinda,Boatright,программисты,$85776.89,true
81-2414611,Jared,Duff,программисты,$98672.97,false
50-5557605,Loretta,Bould,программисты,$59873.04,false
09-7659094,Agretha,Van Baaren,бухгалтеры,$54916.12,false
95-5721262,Belita,Prandy,программисты,$63072.79,false
94-8734939,Field,Hartil,инженеры,$11285.83,false
31-1420028,Mireielle,Perfitt,инженеры,$16731.75,false
73-5035002,Marcellina,Saiens,инженеры,$60728.71,true
91-3268983,Griz,Ingraham,бухгалтеры,$31842.71,true
43-9595407,Berthe,Johnsey,программисты,$54484.79,true
76-1020405,Annabel,Handy,инженеры,$91473.39,false
97-0322243,Nico,Danilov,инженеры,$56415.82,false
67-6715914,Jacinta,Broschke,программисты,$61549.77,true
17-4356841,Tiena,Chasemore,инженеры,$36791.49,false
25-7335200,Lin,Corkett,программисты,$20010.97,true
09-2333805,Minnaminnie,Maris,инженеры,$38956.41,false
86-1209318,Lucie,Mazillius,бухгалтеры,$76852.67,true
53-5587490,Penelope,Geist,бухгалтеры,$9120.70,false
41-4861684,Nikolai,Harford,бухгалтеры,$37614.88,false
30-6040490,Alejandro,Glavias,бухгалтеры,$34091.69,false
19-7325370,Murvyn,Tainton,программисты,$52582.93,false
51-3213356,Eda,Mil,бухгалтеры,$37812.44,true
24-4855005,Levi,Grima,инженеры,$68108.19,true
80-5304801,Hobart,Reichelt,инженеры,$68347.40,false
48-7304435,Ingrid,Buttrey,бухгалтеры,$81270.45,true
90-7898430,Lawry,McGeachie,программисты,$10028.44,true
87-1669566,Merrili,MacCague,бухгалтеры,$47976.30,true
67-9895337,Melessa,Glidder,инженеры,$1108.39,true
78-4596076,Vincent,Hanington,программисты,$83621.44,true
58-4832227,Albertina,Leidl,инженеры,$27740.07,false
99-4587990,Elizabet,Pavlik,инженеры,$89183.74,false
60-8383762,Alwyn,McShirrie,инженеры,$13600.73,true
90-4618344,Joete,Amber,инженеры,$6504.63,true
02-5670348,Hannis,Abrahams,программисты,$37530.29,true
98-1307340,Kelcie,Konrad,инженеры,$86995.53,true
72-1015218,Ignatius,Halhead,инженеры,$9997.64,false
58-5185252,Ollie,Eddowes,бухгалтеры,$60232.77,true
91-3408702,Kirk,Aiskrigg,инженеры,$43769.78,true
35-8635884,Glory,Hatch,программисты,$53523.85,true
57-8229118,Henryetta,Binion,бухгалтеры,$59029.43,true
16-0216248,Lilith,Morton,программисты,$87417.96,false
33-5589728,Cheri,Fennell,бухгалтеры,$6873.04,true
04-7043043,Bunni,Siddon,программисты,$86248.02,true
86-8332299,Elliott,Germon,инженеры,$57951.25,false
79-2765341,Myrle,Pettipher,бухгалтеры,$86543.50,true
41-9966224,Duke,McColm,инженеры,$35485.40,true
19-4553255,Valentine,Escott,инженеры,$53498.81,true
74-9376453,Gabe,Prydie,программисты,$13738.47,false
41-0768558,Debra,Goody,инженеры,$83364.25,true
28-3090603,Tani,Carmody,бухгалтеры,$73610.99,false
87-8541609,Harwell,Jasiak,программисты,$62362.60,true
19-2663103,Charmion,Tollmache,программисты,$1741.97,true
19-9565295,Donavon,Aharoni,программисты,$28279.37,false
91-4463762,Angil,Pawnsford,бухгалтеры,$76632.43,true
23-9824723,Valeria,Hiscoke,бухгалтеры,$18753.62,true
33-5665075,Sammy,Rymour,бухгалтеры,$55187.00,false
42-9316184,Ingrim,Hartegan,программисты,$11799.54,false
74-7382174,Wendel,Northway,бухгалтеры,$99831.81,false
82-8484241,Bethina,Wightman,инженеры,$99424.86,false
35-2206589,Billi,Guyan,программисты,$61524.32,true
18-8219232,Kaylyn,Gateley,программисты,$44589.78,true
58-4741713,Jenni,Renouf,программисты,$11671.26,false
82-9139135,Suellen,Labarre,программисты,$24272.75,true
20-9055173,Odie,Murtimer,инженеры,$53871.71,true
63-6845075,Benito,Rozzier,инженеры,$60005.17,false
56-4039958,Zelda,Goodley,бухгалтеры,$5757.96,true
88-7703342,Allie,Shalcros,инженеры,$8187.46,false
68-8200742,Vergil,Hurch,инженеры,$42144.96,true
44-3401092,Clayson,Culy,бухгалтеры,$78707.39,true
92-0654410,Dari,Jiruch,программисты,$80090.34,true
25-5856439,Greta,Ballingal,инженеры,$88388.36,false
36-4541001,Shell,Grimwood,программисты,$98662.98,false
69-6233141,Bruis,Udy,инженеры,$71590.61,false
18-5220089,Novelia,Fison,программисты,$53932.53,true
00-1306203,Francisca,Faichnie,программисты,$36340.75,false
71-3692339,Abelard,Heibel,инженеры,$71216.26,false
50-1370128,Pattin,Sabie,инженеры,$96674.84,true
92-6663425,Franzen,Spikings,инженеры,$11688.62,false
38-1246642,Phillipe,Bagot,программисты,$76062.17,false
70-0827208,Tedman,Beamiss,программисты,$22554.99,true
49-0277073,Cecily,Robuchon,программисты,$80056.22,false
40-1261959,Olwen,Cumpsty,программисты,$36523.35,true
03-4084557,Clementine,Tippett,инженеры,$69858.93,true
74-8625958,Alaric,Gadie,бухгалтеры,$6629.90,true
